device_id,visit_id,platform,video_seconds_spent
3292210133899669320:6917530160975581919,3292210133899669320:6917530160975581919:00000007,OTT,21
3292457058011947704:6917530152922518970,3292457058011947704:6917530152922518970:00000002,OTT,21
3122670996436784222:4611687157667564234,3122670996436784222:4611687157667564234:00000002,OTT,21
3122856255556140789:4611687205985942070,3122856255556140789:4611687205985942070:00000002,OTT,21
3292310895979600023:6917548305601817925,3292310895979600023:6917548305601817925:00000006,OTT,22
3292399140377959397:6917530148627547050,3292399140377959397:6917530148627547050:00000002,OTT,23
3278697234778549998:6917530209830956515,3278697234778549998:6917530209830956515:00000014,OTT,24
3292371530180427622:4611705335042871345,3292371530180427622:4611705335042871345:00000004,OTT,24
3292395038684201395:4611687212965169576,3292395038684201395:4611687212965169576:00000003,OTT,95768
3281287016306150517:4611687149077565609,3281287016306150517:4611687149077565609:00000013,OTT,25
3278500948332082630:4611687202764710321,3278500948332082630:4611687202764710321:00000013,OTT,26
3281096555982828563:4611687418589167065,3281096555982828563:4611687418589167065:00000005,OTT,26
3292417484183293260:4611687172162978884,3292417484183293260:4611687172162978884:00000002,OTT,26
3292434880948336486:4611687144245691333,3292434880948336486:4611687144245691333:00000003,OTT,26
3292366333269982972:4611705275987001495,3292366333269982972:4611705275987001495:00000002,OTT,28
3280212643121976393:4611687137266422455,3280212643121976393:4611687137266422455:00000009,OTT,28
3292241450653385262:6917548382911472245,3292241450653385262:6917548382911472245:00000003,OTT,29
3292453327832556987:4611705292630015027,3292453327832556987:4611705292630015027:00000002,OTT,29
3292381803742484590:4611687205985875606,3292381803742484590:4611687205985875606:00000001,OTT,30
3281237085165273287:6917530182987317408,3281237085165273287:6917530182987317408:00000009,OTT,30
3292445573269125826:6917548320097304763,3292445573269125826:6917548320097304763:00000002,OTT,30
3292452885451240364:4611687171089240574,3292452885451240364:4611687171089240574:00000002,OTT,31
3292400119630528502:6917530152922518400,3292400119630528502:6917530152922518400:00000003,OTT,31
3292462720926349724:6917530222178861137,3292462720926349724:6917530222178861137:00000002,OTT,31
3292409740357262638:6917530192114098235,3292409740357262638:6917530192114098235:00000003,OTT,32
3270874587504039748:4611687205985901190,3270874587504039748:4611687205985901190:00000007,OTT,32
3290545593555688980:6917530152922513415,3290545593555688980:6917530152922513415:00000010,OTT,32
3290545593555688980:6917530152922513415,3290545593555688980:6917530152922513415:00000011,OTT,33
3292442124410365012:4611705292630000862,3292442124410365012:4611705292630000862:00000002,OTT,34
3292434928192966119:4611687214038909577,3292434928192966119:4611687214038909577:00000002,OTT,34
3287437783137589591:6917530430484836930,3287437783137589591:6917530430484836930:00000003,OTT,36
3285218167661330658:6917530153996281775,3285218167661330658:6917530153996281775:00000005,OTT,36
3290442823576835162:6917530222715734150,3290442823576835162:6917530222715734150:00000005,OTT,36
3256488489319379383:4611687200617887055,3256488489319379383:4611687200617887055:00000009,OTT,36
6763798189428963011:1893106379865063242,6763798189428963011:1893106379865063242:00000002,OTT,36
3264542089870302011:4611687199007400338,3264542089870302011:4611687199007400338:00000002,OTT,36
3292386055759809299:4611705296388099373,3292386055759809299:4611705296388099373:00000002,OTT,37
3292413670252334624:4611687139413858128,3292413670252334624:4611687139413858128:00000002,OTT,72229
3278670913072867659:4611713557221228926,3278670913072867659:4611713557221228926:00000010,OTT,38
3292370623942310507:4611705295314371323,3292370623942310507:4611705295314371323:00000002,OTT,38
3292392972804623707:4611705275987001523,3292392972804623707:4611705275987001523:00000003,OTT,38
3292427059812573905:6917548277684510155,3292427059812573905:6917548277684510155:00000002,OTT,39
3292367834361040900:6917548305601791280,3292367834361040900:6917548305601791280:00000004,OTT,39
3292301084126812215:4611705373160647626,3292301084126812215:4611705373160647626:00000003,OTT,39
3292402050218013080:4611705296388096142,3292402050218013080:4611705296388096142:00000003,OTT,39
3292431932453285862:4611687214038919949,3292431932453285862:4611687214038919949:00000003,OTT,40
3292409826256320291:4611705300146193992,3292409826256320291:4611705300146193992:00000002,OTT,40
3292303641779839952:4611705364033832980,3292303641779839952:4611705364033832980:00000003,OTT,41
3292031055237942109:6917548279295127857,3292031055237942109:6917548279295127857:00000004,OTT,43
3292245810045497069:4611687143708823824,3292245810045497069:4611687143708823824:00000005,OTT,45
3292449859646751378:4611687179142300474,3292449859646751378:4611687179142300474:00000002,OTT,45869
3292449537523924463:6917548279295116545,3292449537523924463:6917548279295116545:00000002,OTT,46
3292434417091859070:4611687151761892421,3292434417091859070:4611687151761892421:00000003,OTT,46
3292386176018890274:6917548279295137113,3292386176018890274:6917548279295137113:00000002,OTT,47
3268145191623415370:4611713574401199071,3268145191623415370:4611713574401199071:00000005,OTT,51
3278456465355780319:6917530560407925902,3278456465355780319:6917530560407925902:00000013,OTT,51
3292378554599424184:6917548344256496581,3292378554599424184:6917548344256496581:00000003,OTT,51
3170283438364659921:6917530157755361736,3170283438364659921:6917530157755361736:00000002,OTT,52
3278643545539840226:4611687157130650973,3278643545539840226:4611687157130650973:00000005,OTT,57
3292428457824432550:4611705296388096377,3292428457824432550:4611705296388096377:00000004,OTT,57
3280166220969351515:6917530434780171367,3280166220969351515:6917530434780171367:00000009,OTT,58
